geo;2018
RO;8.4
IS;8.2
AT;8
ME;8
CZ;7.9
FI;7.9
SI;7.9
IE;7.8
IT;7.8
LV;7.8
MT;7.8
EE;7.7
ES;7.7
HR;7.7
HU;7.7
LT;7.7
NO;7.7
PL;7.7
SK;7.7
XK;7.7
BE;7.6
SE;7.6
CH;7.5
EA;7.5
EA18;7.5
EA19;7.5
EU;7.5
EU27_2007;7.5
EU27_2020;7.5
EU28;7.5
MK;7.5
NL;7.5
CY;7.4
FR;7.4
LU;7.3
PT;7.3
DE;7.2
DK;7.2
UK;7.1
BG;7
RS;7
TR;6.7
AL;6.5
EL;6.5
