index,titulo,localizacion,precio,latitud,longitud,id,tipo_vivienda,metros_construidos,metros_utiles,habitaciones,banos,garaje,trastero,planta,ascensor,exterior,orientacion,calefaccion,armarios_empotrados
"0.0,""Piso en venta en calle José Echegaray, 1"",Los Castros - Castrillón,169000,43.35048,-8.38993,,Piso,83,69,2,2,1,1,2,1,1,,individual,0"
"1.0,""Piso en venta en calle José Echegaray, 1"",Los Castros - Castrillón,169000,43.35048,-8.38993,,Piso,83,69,2,2,1,1,2,1,1,,individual,0"
2.0,Piso en venta en avenida San Cristobal,Someso - Matogrande,250000,43.3446511,-8.41337,,Piso,110,98,3,2,1,1,8,1,1,sur,central: Gasoil,1
"3.0,Piso en venta en calle San Nicolás,Ciudad Vieja - Centro,495000,43.3696232,-8.3990518,,Piso,147,,3,2,0,1,2,0,1,""este, oeste"",individual,1"
4.0,Piso en venta en novoa santos,Cuatro Caminos - Plaza de la Cubela,180000,43.3574745,-8.3991115,,Piso,63,55,2,1,0,0,7,1,1,este,individual,1
5.0,Piso en venta en plaza De España,Monte Alto - Zalaeta - Atocha,370000,43.3745383,-8.3950656,,Piso,125,108,3,2,0,1,1,1,1,este,individual,1
"6.0,Piso en venta en calle Novoa Santos,Cuatro Caminos - Plaza de la Cubela,373000,43.3570671,-8.401163,,Piso,138,,5,3,1,0,8,1,1,""sur, oeste"",central,1"
7.0,Piso en venta en Los Castros - Castrillón,A Coruña,125000,43.3521145,-8.3896716,,Piso,85,73,3,1,0,0,3,0,1,,individual,1
"8.0,""Piso en venta en calle José Echegaray, 1"",Los Castros - Castrillón,169000,43.35048,-8.38993,,Piso,83,69,2,2,1,1,2,1,1,,individual,0"
9.0,Piso en venta en avenida San Cristobal,Someso - Matogrande,250000,43.3446511,-8.41337,,Piso,110,98,3,2,1,1,8,1,1,sur,central: Gasoil,1
"10.0,Piso en venta en calle San Nicolás,Ciudad Vieja - Centro,495000,43.3696232,-8.3990518,,Piso,147,,3,2,0,1,2,0,1,""este, oeste"",individual,1"
11.0,Piso en venta en novoa santos,Cuatro Caminos - Plaza de la Cubela,180000,43.3574745,-8.3991115,,Piso,63,55,2,1,0,0,7,1,1,este,individual,1
12.0,Piso en venta en plaza De España,Monte Alto - Zalaeta - Atocha,370000,43.3745383,-8.3950656,,Piso,125,108,3,2,0,1,1,1,1,este,individual,1
"13.0,Piso en venta en calle Novoa Santos,Cuatro Caminos - Plaza de la Cubela,373000,43.3570671,-8.401163,,Piso,138,,5,3,1,0,8,1,1,""sur, oeste"",central,1"
14.0,Piso en venta en Los Castros - Castrillón,A Coruña,125000,43.3521145,-8.3896716,,Piso,85,73,3,1,0,0,3,0,1,,individual,1
15.0,Piso en venta en calle Posse,Cuatro Caminos - Plaza de la Cubela,379900,43.3529925,-8.3999733,,Piso,125,,3,3,1,1,5,1,1,oeste,individual: Gas natural,1
"16.0,Piso en venta en avenida Ejército,Cuatro Caminos - Plaza de la Cubela,290000,43.3591124,-8.4012332,,Piso,120,,3,2,0,0,1,1,1,""sur, este"",individual,1"
17.0,Piso en venta en Grupo Maria Pita,Riazor - Los Rosales,132000,43.3764075,-8.4214721,,Piso,77,70,2,1,0,0,2,0,1,oeste,individual: Gas propano/butano,1
"18.0,Piso en venta en ronda de Outeiro,Agra del Orzán - Ventorrillo,145000,43.3609646,-8.4208003,,Piso,55,52,2,1,0,0,1,1,1,""este, oeste"",individual: Eléctrica,1"
19.0,Piso en venta en carretera de Mesoiro,Mesoiro,129000,43.3308591,-8.4247189,,Piso,75,70,2,1,1,0,2,1,1,,individual: Gas natural,1
"20.0,""Piso en venta en Ramon del Cueto, 1"",Monte Alto - Zalaeta - Atocha,440000,43.3753207,-8.4008191,,Piso,123,110,4,2,1,1,4,1,1,norte,central: Gasoil,1"
"21.0,""Piso en venta en Frente al Corte Inglés, 2"",Cuatro Caminos - Plaza de la Cubela,330000,43.3543869,-8.4040299,,Piso,100,92,3,2,1,0,4,1,1,este,individual: Eléctrica,1"
"22.0,Piso en venta en calle Novoa Santos,Cuatro Caminos - Plaza de la Cubela,259000,43.3554652,-8.3981633,,Piso,94,,3,2,0,0,5,1,1,""sur, oeste"",individual,1"
"23.0,""Ático en venta en ronda de Outeiro, a escasos metros del Corte Inglés, 36"",Cuatro Caminos - Plaza de la Cubela,350000,43.35177,-8.4019133,,Ático,129,116,4,2,1,1,8,1,1,""este, oeste"",individual,1"
"24.0,""Piso en venta en calle Real, 10 -38"",Ciudad Vieja - Centro,350000,43.3700681,-8.3997945,,Piso,136,114,3,2,0,0,8,1,1,""norte, oeste"",,0"
"25.0,Piso en venta en Pla Cancela,Falperra-Santa Lucía,339000,43.3615141,-8.4112212,,Piso,92,77,3,2,0,1,5,1,1,""sur, oeste"",individual: Bomba de frío/calor,1"
"26.0,Piso en venta en calle Arquitecto Rey Pedreira,Riazor - Los Rosales,250000,43.3679125,-8.4222779,,Piso,89,80,3,2,1,1,1,1,1,""sur, oeste"",individual: Gas natural,1"
",""Piso en venta en calle José Echegaray, 1"",Los Castros - Castrillón,169000,43.35048,-8.38993,99914185.0,Piso,83,69,2,2,1,1,2,1,1,,individual,0"
,Piso en venta en avenida San Cristobal,Someso - Matogrande,250000,43.3446511,-8.41337,100859613.0,Piso,110,98,3,2,1,1,8,1,1,sur,central: Gasoil,1
",Piso en venta en calle San Nicolás,Ciudad Vieja - Centro,495000,43.3696232,-8.3990518,101900474.0,Piso,147,,3,2,0,1,2,0,1,""este, oeste"",individual,1"
